,voltage,circle_num,p1,p2,p3,p4,p5
0,9.692,2.0,0.5,0.5,0.5,0.5,0.5
1,11.192,1.0,0.5448487428497732,0.4918158296747974,0.5488908737904794,0.5081841703252026,0.4918158296747975
2,9.992,2.0,0.5492886901269703,0.44382950927055276,0.5533604668475955,0.5123423796565467,0.5416077417478795
3,10.4,3.0,0.5537611842925798,0.4012079599907834,0.5962987209855064,0.5598678327311756,0.5327491512002653
4,11.642,4.0,0.5582660863108587,0.39162181281245345,0.6010905272513098,0.6020722409261245,0.5780012465896842
5,11.942,3.0,0.6006512660134828,0.3549309919191954,0.6386140393461877,0.639483665049311,0.6181530775644515
6,12.992,4.0,0.5811089027170131,0.37563785388900084,0.6718358865775449,0.6726054244794633,0.5981286566104456
7,13.142,4.0,0.6209079026104876,0.3407781505228507,0.7012229717709926,0.7019034265493154,0.6359901828732553
8,12.542,3.0,0.6561638589395826,0.40616253271687763,0.632167491008067,0.727802103074048,0.6695139160970454
9,10.892,2.0,0.6134661871138773,0.36781172088833586,0.6661307650392949,0.7506844152318617,0.6991697303092068
10,12.092000000000002,3.0,0.5732232002016742,0.3338508362182937,0.6961779410979456,0.7559373611487872,0.7253861952329628
11,12.392,3.0,0.6139169201113011,0.39987271976772515,0.6275356811154684,0.7755321717135499,0.6975045525703936
12,11.642,3.0,0.6499739512471321,0.459463431350206,0.6620310817819428,0.7352261914569631,0.6586370791210159
13,12.842000000000002,4.0,0.6076122387326321,0.5127783305105686,0.6925522153400505,0.6952859592559022,0.6895503404310372
14,11.192,1.0,0.6443906435386653,0.4624822434809654,0.719537455483827,0.721953699749309,0.7168840778219272
15,13.292,4.0,0.6023383323762246,0.4177639817103379,0.7433834136892838,0.6823283470770383,0.6773983478572871
16,13.892,4.0,0.6427364983789008,0.4803906686598975,0.7661123800533753,0.712745436160217,0.604433080969973
17,13.142,3.0,0.6884432490541972,0.4146212048107042,0.791651865441616,0.7470120999863086,0.6563918644215219
18,11.492,2.0,0.6204509989242417,0.3595551201469873,0.8130136844969091,0.7756755221444889,0.6998682953173705
19,14.042,4.0,0.5588067100472455,0.42867724226803133,0.8308808210608165,0.735370281931,0.6247300026397409
20,14.942,5.0,0.5834946191275825,0.2596247041198658,0.8466314565697788,0.7676092915290487,0.7292802045362333
21,13.892,4.0,0.6603264451538071,0.41727663056736164,0.8596647117594871,0.7272886307666808,0.6955057064278738
22,13.442,4.0,0.5599315756918027,0.5338149756715826,0.8704497567182421,0.760923642790025,0.7465495410365985
23,12.8,3.0,0.47666362579900257,0.6222854550282162,0.8793746414110502,0.7887494913452204,0.7859942295450613
24,13.892,4.0,0.5077685457411067,0.6901248287844066,0.8878666279679253,0.6437438092497378,0.816524947241372
25,12.542,3.0,0.450787322134627,0.7423961630934695,0.8946739810744344,0.696827955792348,0.8401815033543016
26,15.092000000000002,5.0,0.5840740041932626,0.5841822763172455,0.9001313411423628,0.7397368454408995,0.7525090475363578
27,14.792,5.0,0.6884198204931508,0.6638389403760365,0.9045067101424953,0.7744438232535704,0.7920291212384121
28,14.08,4.0,0.7670484131132135,0.7243420503255931,0.908014783254482,0.8025297011659491,0.822282693159262
29,15.0,5.0,0.6655272831846756,0.6911153089628571,0.9108275899694367,0.8252652349724254,0.7333740550542971
