,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,voltage,voltage_45,resistance
0,9,-3,3,-1,12,0,-1,2,3,-2,13.2,19.8,1000
1,-8,3,4,12,9,5,5,-1,-1,-3,16.5,24.75,1000
,,,,,,,,,,,18.9,28.35,
2,4,1,-2,7,7,3,5,-2,-4,3,18.9,28.35,1000
3,-6,-2,6,12,10,1,-1,1,-3,-3,13.9,20.85,1000
4,1,2,-8,9,-10,2,-2,-1,-5,-1,18.5,27.75,40
5,-5,0,2,9,-8,-4,-4,0,0,1,18.4,27.6,33
6,-2,3,-6,9,-10,1,-2,0,-4,-2,17.3,25.95,30
7,-2,2,-6,10,-11,1,-2,1,-4,-2,17.7,26.55,33
8,-2,3,-6,10,-10,2,-3,0,-4,-1,18.2,27.3,33
9,-3,3,-6,9,-11,1,-2,-1,-5,-3,17.5,26.25,32
10,-6,1,1,9,-9,-5,-5,0,0,0,18.5,27.75,32
11,-3,3,-4,9,-10,-1,-3,0,-3,-2,19.9,29.85,33
12,-3,3,-7,10,-9,0,-2,0,-4,-2,18,27,36
13,-2,3,-5,8,-10,1,-3,1,-5,-2,18.1,27.15,35
14,-2,2,-5,9,-11,2,-1,-1,-2,-2,18.8,28.2,32
15,-2,4,-5,9,-11,0,-1,-1,-4,-1,18.8,28.2,33
16,-1,3,-5,9,-11,1,-3,-1,-3,-3,18.5,27.75,29
17,-2,3,-6,9,-11,1,-3,-1,-3,-2,20.2,30.3,33
18,-4,1,3,10,-10,-5,-5,0,1,-1,16.3,24.45,33
